d (mm),rL (mm),rR (mm),Symmetric Mode (GHz),Antisymmetric Mode (GHz),Symmetric C,Antisymmetric C
38.75,6.95,7.05,11.747223337069864+2.788737684520357E-4i,11.869496821593586+2.627509584737846E-4i,0.6355777533,0.1497272774
38.75,6.96,7.04,11.75483463986016+2.807513748379379E-4i,11.862222078442521+2.610114321324255E-4i,0.6672025829,0.1185362806
38.75,6.97,7.03,11.76079945071187+2.824459423465199E-4i,11.855685374317142+2.5900289784533756E-4i,0.7047102402,0.08096947356
38.75,6.98,7.02,11.7661171238518+2.8446748902708385E-4i,11.850480662608915+2.5707652271393704E-4i,0.7426297535,0.04324091538
38.75,6.99,7.01,11.76957277244407+2.8597600213454646E-4i,11.846991040271242+2.555236014977926E-4i,0.7737099415,0.01223404516
38.75,7,7,11.774853579934577+2.863582347126727E-4i,11.846238653313296+2.5494310276049097E-4i,0.7876193302,5.80E-07
38.75,7.01,6.99,11.769572772444068+2.8597600213431303E-4i,11.846991040271242+2.5552360149781045E-4i,0.7737099415,0.01223404516
38.75,7.02,6.98,11.765929745110514+2.843709183577609E-4i,11.850447397509358+2.570559436874588E-4i,0.7428055183,0.04296914284
38.75,7.03,6.97,11.760667956133364+2.824254505123176E-4i,11.855635175815179+2.5896461355269604E-4i,0.7050590963,0.08054541602
38.75,7.04,6.96,11.7543176617623+2.80573138185821E-4i,11.862116520613377+2.6091819279406604E-4i,0.6681822419,0.1172683059
38.75,7.05,6.95,11.747072668061787+2.7885336006009266E-4i,11.869453115207444+2.62721110940344E-4i,0.6358183105,0.1494104847
38.5,6.95,7.05,11.615399186398724+3.157279049544249E-4i,11.858551374595187+2.5708117852152464E-4i,0.6730167716,0.01802453483
38.5,6.96,7.04,11.618598019679+3.1698851793529414E-4i,11.855982372827835+2.558297056971387E-4i,0.6801678427,0.01210017577
38.5,6.97,7.03,11.62092284354346+3.1787418112759524E-4i,11.853915391739319+2.547914050808335E-4i,0.6860044583,0.007048332897
38.5,6.98,7.02,11.622374365536983+3.184150172455005E-4i,11.852400146808533+2.540170960055247E-4i,0.6902451333,0.003204662965
38.5,6.99,7.01,11.623403438379448+3.1883037853587824E-4i,11.851489782656+2.535414469706906E-4i,0.692966843,8.14E-04
38.5,7,7,11.623792804419665+3.1899750175357815E-4i,11.851184748311464+2.5337950468876916E-4i,0.6939182793,2.54E-09
38.5,7.01,6.99,11.623956323204943+3.1919968736135473E-4i,11.851499437510887+2.535399782680613E-4i,0.6933376162,8.08E-04
38.5,7.02,6.98,11.622944420741248+3.1879665860431045E-4i,11.85241488229197+2.540127978549161E-4i,0.6906096586,0.003211519258
38.5,7.03,6.97,11.62103949262897+3.1802578142882274E-4i,11.853914238424204+2.5477664148878436E-4i,0.6860930454,0.007024380306
38.5,7.04,6.96,11.618756716842167+3.1714015510686815E-4i,11.855975467310591+2.5581501362246796E-4i,0.6802741156,0.01209049256
38.5,7.05,6.95,11.615804900606168+3.160439561754037E-4i,11.85855428135605+2.570821312835452E-4i,0.6732314045,0.01809556772